route_id,num_stops,nn_time_seconds,nn_violations,algo_time_seconds,algo_violations,actual_time_seconds,actual_violations,algo_passes_run
RouteID_a0cc48df-4770-4eb9-8062-c1fd0882ce17,145,29671.8,1,29555.6,0,28875.9,2,3
RouteID_53b67b27-6f23-4a88-8d61-deab85fe3a9d,170,28547.2,0,26953.1,0,27763.3,0,7
RouteID_ed832636-5ecd-49e0-aa53-605c824c80c3,132,28928.6,2,27035.6,0,28403.3,0,5
RouteID_7419a5ec-c467-4dc4-8602-329c06584580,164,28022.0,0,25500.8,0,26442.5,0,4
RouteID_925539d2-b772-40a5-9e5e-276317602149,183,26981.5,0,25877.6,0,25677.3,0,5
RouteID_c8ffd5fd-3bd1-409e-9a4d-c7c930127ae9,177,26272.9,0,24596.1,0,24951.0,0,4
RouteID_49961695-52b0-4efd-b85c-690a056f7de6,94,30625.8,5,31128.5,0,30030.5,3,2
RouteID_d5f328d5-8017-4fdd-aa63-783642765cc3,79,25211.2,3,25382.6,0,22735.6,0,3
RouteID_0921cebf-49ed-4e14-a8ad-89e6be212d11,127,29239.9,13,28981.9,0,28789.7,0,5
RouteID_b6d21ee6-724f-43e3-9cb1-85553e0a9475,169,26371.6,0,25705.5,0,25732.0,0,4
RouteID_811b18a8-3c68-4f63-964f-47af49ed96f3,192,31051.0,0,30409.4,0,31243.6,0,5
RouteID_99dd7d8a-fe9b-407f-88c8-fa78dbbd077c,144,26915.2,10,25822.0,0,27574.7,5,5
RouteID_e8344812-c989-4853-9620-8e0913229dbe,166,31071.0,0,29156.5,0,30839.0,0,5
RouteID_b387ef94-c466-428a-a629-cbd33b7f5982,148,30982.7,12,31313.8,0,31080.7,4,4
RouteID_d6ff5f52-939d-4ca1-85ee-d28a19a8c225,144,23331.3,2,22532.2,0,22904.6,0,5
RouteID_d2303422-aa18-44da-b671-35785760e751,134,29825.1,4,29717.1,0,29227.2,1,4
RouteID_35eff35c-d33b-41b4-81f2-f0dc9c0bd44d,172,27572.0,0,26597.8,0,28070.3,0,4
RouteID_183f1b60-7bb1-4f6e-8315-c845ed8015fd,177,29894.5,0,29032.0,0,29030.7,0,4
RouteID_1dd875ff-da1c-4707-b6dc-892447100d76,177,31938.0,1,30487.8,0,30932.2,0,6
RouteID_1de260a1-709e-4983-973d-6ad3b8be1807,161,28748.0,0,28097.5,0,28851.1,0,4
RouteID_aca8f2c4-92b6-4201-aaa0-1c616f462b13,175,28806.2,1,28148.0,0,28640.4,0,5
RouteID_c21a80c8-3bf6-479e-88a3-a17981b1fb16,166,29577.4,2,28845.7,0,29040.7,1,4
RouteID_e07ba9b7-5815-4e55-970e-3fec231b0c42,156,26071.3,5,24663.3,0,26478.3,0,5
RouteID_c3602216-4d2d-4204-9b7f-c6c545714efe,160,23544.9,1,22908.7,0,22892.2,8,3
RouteID_033dd66b-707f-437b-86a4-4f295bf2e557,190,25165.6,0,24677.2,0,26064.1,0,4
RouteID_a47e734c-2ee2-41f9-871c-c2eaf4681c56,100,23857.3,0,23710.4,0,24456.2,1,3
RouteID_f7c7980c-84a1-4820-806a-798646d20534,177,26734.2,3,25734.1,0,26855.5,0,6
RouteID_1181a424-42d1-4cf5-bc52-370d43bbdfd5,160,30980.7,28,29945.3,0,31123.9,0,5
RouteID_761a0e75-6121-46ac-9457-1be412f26f41,137,27078.1,0,25535.5,0,27349.4,0,3
RouteID_6ceffed8-aad6-4e11-ad59-0f37bfe44537,192,30965.9,0,29329.4,0,30003.9,0,3
RouteID_e4982061-58e3-4566-8c41-5dd667086e3a,193,28438.5,1,27197.2,0,27215.0,0,5
RouteID_a021d394-d29f-4dab-8ad0-8ed17f2a2e52,122,21780.7,5,21924.3,0,22338.6,0,4
RouteID_16dfbb94-ac9e-46bd-afe8-0b49cea540fd,201,28757.6,4,28772.6,1,29166.2,1,7
RouteID_14400e63-1a26-48f2-8b62-8c93b45df3fb,140,25369.4,0,24769.0,0,24915.8,0,3
RouteID_a3035081-7a09-4c0e-b72e-4e4c1dd0af47,174,26510.8,0,25965.6,0,27930.0,0,4
RouteID_fe099673-6d68-47bb-a9d7-bff9afd268fa,148,27488.1,2,27756.4,0,28306.0,0,4
RouteID_43eff27b-a40b-44ee-b729-caca0f560716,157,25665.0,15,24506.6,0,25833.0,3,5
RouteID_3b676853-3ed7-4401-8ef6-f346b18be700,158,26810.6,0,26072.9,0,27226.9,0,4
